Name,Policy,Comment,Type,State,City
Kabir,Housing Development Scheme,The implementation will likely fail like before.,negative,Karnataka,Mysuru
Ananya,Housing Development Scheme,Not sure if this will help in real situations.,negative,Tamil Nadu,Madurai
Aditya,Digital Privacy Act,"A very thoughtful policy, proud of this government.",positive,Gujarat,Ahmedabad
Sanya,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Karnataka,Mangalore
Sanya,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Kerala,Kozhikode
Aditya,Cybersecurity Protection Policy,Not sure if this will help in real situations.,negative,Rajasthan,Jodhpur
Aditya,Digital Privacy Act,"A very thoughtful policy, proud of this government.",positive,Punjab,Ludhiana
Aditya,Renewable Energy Adoption Policy,"The idea is good, execution will matter.",neutral,Tamil Nadu,Coimbatore
Harshit,Workplace Equality Policy,Mixed feelings about this policy.,neutral,Rajasthan,Jodhpur
Aditya,Digital Privacy Act,This is just another headline without substance.,negative,Karnataka,Bengaluru
Sanya,Digital Privacy Act,The implementation will likely fail like before.,negative,Maharashtra,Mumbai
Kabir,Housing Development Scheme,"A very thoughtful policy, proud of this government.",positive,Uttar Pradesh,Kanpur
Aditya,Environmental Protection Act,A waste of resources and poorly planned.,negative,Tamil Nadu,Coimbatore
Sanya,Housing Development Scheme,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Isha,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Tamil Nadu,Madurai
Aditya,Cybersecurity Protection Policy,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Aditya,Transport Safety Policy,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Isha,Healthcare Access Policy,Let's see how this works in practice.,neutral,Maharashtra,Mumbai
Aditya,Education Reform Policy,This is just another headline without substance.,negative,Punjab,Ludhiana
Diya,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,Tamil Nadu,Madurai
Diya,Renewable Energy Adoption Policy,Too early to judge its effectiveness.,neutral,Punjab,Ludhiana
Meera,Environmental Protection Act,Let's see how this works in practice.,neutral,Uttar Pradesh,Varanasi
Kabir,Housing Development Scheme,Let's see how this works in practice.,neutral,West Bengal,Siliguri
Diya,Cybersecurity Protection Policy,Too early to judge its effectiveness.,neutral,Punjab,Chandigarh
Ananya,Transport Safety Policy,Neither good nor bad at this stage.,neutral,Uttar Pradesh,Kanpur
Sanya,Healthcare Access Policy,This is just another headline without substance.,negative,Rajasthan,Jaipur
Harshit,Healthcare Access Policy,Happy to see this reform being implemented.,positive,West Bengal,Howrah
Isha,Renewable Energy Adoption Policy,A waste of resources and poorly planned.,negative,West Bengal,Siliguri
Aarav,Renewable Energy Adoption Policy,Happy to see this reform being implemented.,positive,Karnataka,Mangalore
Diya,Digital Privacy Act,The implementation will likely fail like before.,negative,West Bengal,Howrah
Rohan,Transport Safety Policy,Mixed feelings about this policy.,neutral,Karnataka,Bengaluru
Ananya,Education Reform Policy,Let's see how this works in practice.,neutral,Rajasthan,Udaipur
Kabir,Agriculture Sustainability Act,This is just another headline without substance.,negative,Punjab,Ludhiana
Kabir,Cybersecurity Protection Policy,Let's see how this works in practice.,neutral,Gujarat,Surat
Aarav,Workplace Equality Policy,A waste of resources and poorly planned.,negative,Kerala,Kochi
Sanya,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Karnataka,Bengaluru
Ananya,Environmental Protection Act,A waste of resources and poorly planned.,negative,Maharashtra,Nagpur
Meera,Cybersecurity Protection Policy,Let's see how this works in practice.,neutral,Maharashtra,Nagpur
Kabir,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Gujarat,Vadodara
Rohan,Workplace Equality Policy,Let's see how this works in practice.,neutral,West Bengal,Howrah
Meera,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Tamil Nadu,Chennai
Aditya,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Sanya,Cybersecurity Protection Policy,A waste of resources and poorly planned.,negative,Kerala,Kozhikode
Ananya,Housing Development Scheme,Too early to judge its effectiveness.,neutral,Tamil Nadu,Chennai
Aarav,Healthcare Access Policy,Neither good nor bad at this stage.,neutral,Gujarat,Vadodara
Aditya,Digital Privacy Act,A waste of resources and poorly planned.,negative,Maharashtra,Mumbai
Rohan,Transport Safety Policy,A waste of resources and poorly planned.,negative,Rajasthan,Udaipur
Rohan,Cybersecurity Protection Policy,"A very thoughtful policy, proud of this government.",positive,Uttar Pradesh,Kanpur
Rohan,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,Maharashtra,Nagpur
Kabir,Cybersecurity Protection Policy,Let's see how this works in practice.,neutral,Karnataka,Bengaluru
Sanya,Healthcare Access Policy,Not sure if this will help in real situations.,negative,Gujarat,Vadodara
Aarav,Environmental Protection Act,The implementation will likely fail like before.,negative,Rajasthan,Jodhpur
Rohan,Transport Safety Policy,Too early to judge its effectiveness.,neutral,Delhi,New Delhi
Ananya,Agriculture Sustainability Act,Not sure if this will help in real situations.,negative,Uttar Pradesh,Varanasi
Aditya,Workplace Equality Policy,This is just another headline without substance.,negative,Maharashtra,Nagpur
Harshit,Housing Development Scheme,Too early to judge its effectiveness.,neutral,Uttar Pradesh,Varanasi
Diya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Karnataka,Bengaluru
Sanya,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Karnataka,Mangalore
