Name,Policy,Comment,Type
Harshit,Healthcare Access Policy,"This Healthcare Access Policy will bring positive changes, proud of this initiative.",positive
Diya,Environmental Protection Act,This Environmental Protection Act seems more like a political stunt than a real solution.,negative
Manoj,Smart Cities Mission,"The Smart Cities Mission is too complicated, common people won’t benefit much.",negative
Aarav,Environmental Protection Act,This Environmental Protection Act lacks proper planning and execution.,negative
Alok,Cybersecurity Framework,Please add more transparency to the Cybersecurity Framework for better trust.,suggestion
Alok,Digital India Policy,The Digital India Policy is good but should include rural areas more effectively.,suggestion
Priya,Startup India Initiative,"A much needed Startup India Initiative, thank you for implementing this.",positive
Meera,Cybersecurity Framework,"The Cybersecurity Framework is too complicated, common people won’t benefit much.",negative
Alok,Cybersecurity Framework,"This Cybersecurity Framework will bring positive changes, proud of this initiative.",positive
Kavita,Smart Cities Mission,Add more awareness campaigns for the Smart Cities Mission so people understand it better.,suggestion
Amit,Education Reform Bill,"The Education Reform Bill is very beneficial for common people, excellent move.",positive
Manoj,National Agriculture Policy,"Really happy with the National Agriculture Policy, it's very progressive.",positive
Vivaan,Environmental Protection Act,The Environmental Protection Act is good but should include rural areas more effectively.,suggestion
Alok,Clean Ganga Mission,"A much needed Clean Ganga Mission, thank you for implementing this.",positive
Ishita,Digital India Policy,"I really support the Digital India Policy, it's a great step for our nation.",positive
Meera,Healthcare Access Policy,"Really happy with the Healthcare Access Policy, it's very progressive.",positive
Geeta,Startup India Initiative,"This Startup India Initiative will bring positive changes, proud of this initiative.",positive
Rekha,Cybersecurity Framework,Add more awareness campaigns for the Cybersecurity Framework so people understand it better.,suggestion
Priya,Education Reform Bill,"I really support the Education Reform Bill, it's a great step for our nation.",positive
Akash,Cybersecurity Framework,"Not satisfied with the Cybersecurity Framework, it doesn’t solve ground-level problems.",negative
Kavita,Education Reform Bill,This Education Reform Bill seems more like a political stunt than a real solution.,negative
Sneha,National Agriculture Policy,The National Agriculture Policy is good but should include rural areas more effectively.,suggestion
Riya,Women Empowerment Policy,The Women Empowerment Policy should focus more on youth involvement.,suggestion
Siddharth,Education Reform Bill,"This Education Reform Bill will bring positive changes, proud of this initiative.",positive
Harshit,National Agriculture Policy,"The National Agriculture Policy is very beneficial for common people, excellent move.",positive
Shivani,Cybersecurity Framework,"A much needed Cybersecurity Framework, thank you for implementing this.",positive
Akash,Clean Ganga Mission,Add more awareness campaigns for the Clean Ganga Mission so people understand it better.,suggestion
Aditya,Smart Cities Mission,"I really support the Smart Cities Mission, it's a great step for our nation.",positive
Diya,Cybersecurity Framework,Add more awareness campaigns for the Cybersecurity Framework so people understand it better.,suggestion
Deepak,Healthcare Access Policy,"A much needed Healthcare Access Policy, thank you for implementing this.",positive
Jyoti,National Agriculture Policy,"Not satisfied with the National Agriculture Policy, it doesn’t solve ground-level problems.",negative
Siddharth,Cybersecurity Framework,Add more awareness campaigns for the Cybersecurity Framework so people understand it better.,suggestion
Arjun,Education Reform Bill,This Education Reform Bill lacks proper planning and execution.,negative
Rajesh,Smart Cities Mission,"The Smart Cities Mission is very beneficial for common people, excellent move.",positive
